puntaje,titulo,institucion,cantidad_opiniones
4.763168316831683,Contabilidad para no contadores,Universidad Nacional Autónoma de México,2525
4.796610169491525,Population Health During A Pandemic: Contact Tracing and Beyond,University of Houston,118
4.318181818181818,Building Containerized Applications on AWS,Amazon Web Services,44
4.7534246575342465,What Is Contemporary Art?,The Museum of Modern Art,292
4.4655172413793105,The Strategy of Content Marketing,"University of California, Davis",812
4.852941176470588,American Contract Law I,Yale University,102
4.843971631205674,Rédaction de contrats,University of Geneva,141
4.2314410480349345,Building Conversational Experiences with Dialogflow,Google Cloud,229
3.8553750966744005,Convolutional Neural Networks,DeepLearning.AI,1293
4.469640644361834,Convolutional Neural Networks in TensorFlow,DeepLearning.AI,807
4.633333333333334,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,90
4.842592592592593,Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,108
4.855652173913043,Corporate Finance Essentials,IESE Business School,575
4.875,Corporate Strategy,UCL School of Management,144
4.736413043478261,"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,368
4.84,New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park",25
4.428571428571429,COVID-19 Contact Tracing For Nursing Professionals,University of Houston,7
4.838901262063845,COVID-19: What You Need to Know (CME Eligible),Osmosis,1347
4.648854961832061,Creative Writing: The Craft of Plot,Wesleyan University,1048
4.619565217391305,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,92
4.456140350877193,Creative Problem Solving,University of Minnesota,513
4.746987951807229,Creative Thinking: Techniques and Tools for Success,Imperial College London,664
4.78486646884273,Cryptography I,Stanford University,674
4.608355091383812,Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,383
4.670103092783505,Ordered Data Structures,University of Illinois at Urbana-Champaign,97
4.75,Cultural Competence - Aboriginal Sydney,The University of Sydney,44
1.0,Curanderismo: Traditional Healing Using Plants,University of New Mexico,6
4.722222222222222,Customer Segmentation and Prospecting,Northwestern University,162
4.511363636363637,Cybersecurity Compliance Framework & System Administration,IBM,176
4.406976744186046,"Cybersecurity Roles, Processes & Operating System Security",IBM,344
4.43194925028835,Data Analysis with Python,IBM,1734
4.87481590574374,Data Analytics for Lean Six Sigma,University of Amsterdam,679
4.604444444444445,Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,225
4.6875,Research Data Management and Sharing,The University of Edinburgh,128
4.6,Foundations of Data Science: K-Means Clustering in Python,University of London,80
4.338389731621937,Data Science Methodology,IBM,1714
4.4799070076386585,The Data Scientist’s Toolbox,Johns Hopkins University,6022
4.304393305439331,Fundamentals of Visualization with Tableau,"University of California, Davis",956
4.479629629629629,Database Management Essentials,University of Colorado System,540
4.449943117178612,Data Science Math Skills,Duke University,1758
4.5073995771670194,Data-driven Decision Making,PwC,946
4.801784266017843,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",DeepLearning.AI,6165
4.860091743119266,Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,436
4.8530805687203795,Introduction to Dental Medicine,University of Pennsylvania,211
4.84375,Dentistry 101,University of Michigan,32
4.077922077922078,Dermatology: Trip to skin,Novosibirsk State University ,77
4.622222222222222,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,135
4.84789644012945,Developing Your Musicianship,Berklee College of Music,309
4.8108108108108105,DevOps Culture and Mindset,"University of California, Davis",74
4.488888888888889,Introduction to the Digital Advertising Landscape,University of Colorado Boulder,45
4.495412844036697,Digital Business Models,Lund University,109
4.9221476510067115,Dino 101: Dinosaur Paleobiology,University of Alberta,745
4.833333333333333,Discrete Optimization,The University of Melbourne,120
4.658333333333333,Diversity and inclusion in the workplace,ESSEC Business School,120
4.628787878787879,Web Application Technologies and Django,University of Michigan,132
4.661259541984733,Dog Emotion and Cognition,Duke University,1048
4.858173076923077,Introduction aux Droits de l’Homme,University of Geneva,416
4.6092715231788075,Drug Commercialization,University of California San Diego,151
4.520766773162939,Drug Development,University of California San Diego,313
4.580310880829016,Drug Discovery,University of California San Diego,386
4.0,Fundamentals of Scalable Data Science,IBM,355
4.124386252045826,Behavioral Finance,Duke University,611
4.533483146067415,"Programming Foundations with JavaScript, HTML and CSS",Duke University,2225
4.747282608695652,Supporting children with difficulties in reading and writing,University of London,368
4.852362204724409,Ecology: Ecosystem Dynamics and Conservation,Howard Hughes Medical Institute ,508
4.90566037735849,Effective Compliance Programs,University of Pennsylvania,53
4.899135446685879,Understanding Einstein: The Special Theory of Relativity,Stanford University,694
4.542168674698795,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,83
4.682926829268292,Electric Industry Operations and Markets,Duke University,164
4.671309192200557,Introduction to Electronics,Georgia Institute of Technology,359
4.368421052631579,Embedded Software and Hardware Architecture,University of Colorado Boulder,57
4.844262295081967,EMT Foundations,University of Colorado System,122
4.91588785046729,Développement psychologique de l'enfant,University of Geneva,107
4.701298701298701,Engineering Health: Introduction to Yoga and Physiology,New York University,77
4.764383561643836,Introduction to Engineering Mechanics,Georgia Institute of Technology,730
4.569832402234637,English Composition I,Duke University,179
4.91411501120239,Teach English Now! Foundational Principles,Arizona State University,2678
4.896551724137931,Cursos en línea: modelo para armar,Universidad Nacional Autónoma de México,58
4.545454545454546,Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,33
4.745762711864407,Devenir entrepreneur du changement,HEC Paris,177
1.0,Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,6
5.0,Entreprise et changement climatique,ESSEC Business School,2
4.871892925430211,Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,523
4.737179487179487,"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,468
4.6520710059171595,Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,845
4.635371179039302,Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,458
1.0,Epigenetic Control of Gene Expression,The University of Melbourne,6
4.892857142857143,Equine Welfare and Management,"University of California, Davis",56
4.465,Econometrics: Methods and Applications,Erasmus University Rotterdam,200
4.857651245551601,Essentials of Global Health,Yale University,281
4.709976798143852,Marketing Digital,Universidade de São Paulo,431
4.845121951219512,Étudier en France: French Intermediate course B1-B2,École Polytechnique,820
4.709219858156028,European Business Law: Understanding the Fundamentals,Lund University,141
4.709302325581396,Everyday Chinese Medicine,The Chinese University of Hong Kong,172
4.755775577557756,"Everyday Excel, Part 1",University of Colorado Boulder,303
4.95,"Everyday Excel, Part 2",University of Colorado Boulder,40
4.929530201342282,Everyday Parenting: The ABCs of Child Rearing,Yale University,596
4.6825,Excel Skills for Business: Advanced,Macquarie University,800
4.719626168224299,Excel aplicado a los negocios (Nivel Avanzado),Universidad Austral,642
4.675745784695201,Introduction to Data Analysis Using Excel,Rice University,1542
4.587628865979381,Excel Fundamentals for Data Analysis,Macquarie University,97
4.888301477565406,Excel Skills for Business: Essentials,Macquarie University,7377
4.8965360072926165,Excel Skills for Business: Intermediate I,Macquarie University,2194
4.731417244796829,Excel Skills for Business: Intermediate II,Macquarie University,1009
4.8064,Fundamentos de Excel para Negocios,Universidad Austral,1250
4.817808219178082,"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,730
4.73469387755102,L'excellence opérationnelle en pratique,ESSEC Business School,98
4.790322580645161,Exploring Renewable Energy Schemes,University of Pennsylvania,62
4.727357609710551,"Cameras, Exposure, and Photography",Michigan State University,1071
4.605263157894737,Personal & Family Financial Planning,University of Florida,380
4.8279773156899815,Fashion as Design,The Museum of Modern Art,529
4.393939393939394,Fundamentals of Engineering Exam Review,Georgia Institute of Technology,132
4.818998716302953,Feminism and Social Justice,"University of California, Santa Cruz",779
4.814516129032258,Finance for Non-Finance Professionals,Rice University,372
4.130434782608695,Finance for Non-Financial Managers,Emory University,69
3.888888888888889,Fundamentals of Finance,University of Pennsylvania,9
4.252336448598131,Financial Acumen for Non-Financial Managers,University of Pennsylvania,107
4.365196078431373,Financial Engineering and Risk Management Part I,Columbia University,408
4.811454311454312,Financial Markets,Yale University,3108
4.414634146341464,Financial Planning for Young Adults,University of Illinois at Urbana-Champaign,82
4.898058252427185,Fundamentos de Finanzas Empresariales,Universidad de los Andes,1442
4.803474903474903,Finanzas personales,Universidad Nacional Autónoma de México,2590
4.795221843003413,Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,293
4.825688073394495,FinTech Law and Policy,Duke University,109
