titulo,es_pago,precio_usd,inscriptos,nivel,duracion_hs,fecha_publicacion,categoria,ventas_totales,año_publicacion
Bookkeeping Practicals with Software,True,35,1,Intermediate Level,31.5,2017-02-07,Business Finance,35,2017
8 Steps To Achieve Financial Freedom And Escape Debt,True,40,5,Beginner Level,5.5,2015-11-13,Business Finance,200,2015
Trading Basics in 30 minutes,True,50,1,Beginner Level,0.5333333333333333,2017-02-26,Business Finance,50,2017
Technical Charting,True,20,4,Intermediate Level,1.0,2015-11-02,Business Finance,80,2015
Profits Turbo,True,20,10,Intermediate Level,5.5,2013-06-03,Business Finance,200,2013
Nest Egg Investing,True,45,6,Beginner Level,2.0,2014-06-27,Business Finance,270,2014
Economics for beginners - Various Concepts,True,25,2,Beginner Level,2.5,2017-01-02,Business Finance,50,2017
Investing in Stocks & Shares,True,20,2,Beginner Level,2.0,2016-05-23,Business Finance,40,2016
Learn Financial Modeling from Scratch - Part 2,True,50,2,All Levels,3.5,2016-04-07,Business Finance,100,2016
Learn Financial Modeling from Scratch - Part 3,True,50,2,All Levels,2.0,2016-04-07,Business Finance,100,2016
A Practical Guide to Wealth Creation,True,35,6,All Levels,1.0,2016-11-18,Business Finance,210,2016
"'Geometry Of Chance strategy of defeating the roulette.""",True,30,2,Intermediate Level,1.5,2016-06-28,Business Finance,60,2016
Trading Algorítmico en Forex: Crea tu primer Robot de Forex!,True,170,206,All Levels,6.5,2016-03-12,Business Finance,35020,2016
MQL4 Bootcamp Tutorial- Trading Robot Coding in Metatrader4,True,20,313,Beginner Level,1.0,2015-07-05,Business Finance,6260,2015
Introducción a la contabilidad,True,20,193,Beginner Level,1.0,2014-12-17,Business Finance,3860,2014
Einnahmen aus Udemy-Kursen als Dozent korrekt versteuern,True,30,66,Beginner Level,1.0,2015-04-09,Business Finance,1980,2015
Contabilidad Gubernamental en México,True,30,270,All Levels,3.5,2015-08-14,Business Finance,8100,2015
株式投資に必要なスキルの学習手順を学ぶ,True,20,139,Beginner Level,2.0,2016-06-09,Business Finance,2780,2016
Formação de preços em serviços,True,35,77,Intermediate Level,2.0,2017-04-26,Business Finance,2695,2017
"Geld verdienen mit dem Ticken der Uhr, wie Warren Buffett!",True,195,225,All Levels,5.0,2016-03-30,Business Finance,43875,2016
Торговля дельта-нейтральными стренглами,True,150,23,All Levels,1.5,2016-03-10,Business Finance,3450,2016
Guía práctica para comprar acciones en la Bolsa de USA,False,0,4876,Intermediate Level,4.5,2014-09-11,Business Finance,0,2014
Contabilidad Financiera: Conoce el Lenguaje de los Negocios.,True,20,244,Beginner Level,2.5,2015-06-16,Business Finance,4880,2015
Curso de Day Trader para Iniciantes,False,0,1278,Beginner Level,1.5,2016-11-03,Business Finance,0,2016
Curso de Iniciación al Trading,True,85,31,All Levels,10.5,2015-11-26,Business Finance,2635,2015
Complete GST Course For Small and Medium Enterprises,True,75,8,Beginner Level,6.0,2017-06-14,Business Finance,600,2017
3 documentos clave para administrar tu empresa con éxito,True,45,40,Intermediate Level,1.0,2013-05-16,Business Finance,1800,2013
Forex/Opciones Binarias para Principiantes,True,25,9,Beginner Level,2.0,2016-04-01,Business Finance,225,2016
15 Mandamientos para ganar dinero en Bolsa,True,20,45,All Levels,8.5,2014-10-14,Business Finance,900,2014
Le bitcoin et la blockchain,True,80,13,All Levels,0.7333333333333333,2017-03-13,Business Finance,1040,2017
Contabilità Generale,True,200,4,All Levels,8.5,2017-05-29,Business Finance,800,2017
Торговля опционами: Как заработать на волатильности,True,150,20,All Levels,2.0,2016-02-25,Business Finance,3000,2016
Estrategias de Inversión aplicadas al mundo del trading,True,20,9,All Levels,3.0,2016-05-26,Business Finance,180,2016
バイナリーオプション取引,True,85,29,All Levels,0.65,2016-11-28,Business Finance,2465,2016
Caza los Enormes Movimientos del Mercado,True,20,6,All Levels,1.5,2015-11-12,Business Finance,120,2015
Le basi del trading online,True,45,7,Beginner Level,3.5,2017-05-31,Business Finance,315,2017
自分に合った投資信託を見つけよう！,True,25,859,Beginner Level,2.0,2017-03-31,Business Finance,21475,2017
Monatlich Geld anlegen für später!,True,30,5983,Beginner Level,0.6166666666666667,2015-10-06,Business Finance,179490,2015
Invierte en la Bolsa Mexicana y de USA,True,200,1673,Beginner Level,5.5,2015-08-10,Business Finance,334600,2015
Gestão Financeira Para Pequenas e Médias Empresas,True,115,1284,All Levels,4.5,2016-01-29,Business Finance,147660,2016
Curso Completo de Bitcoin - Ganhe 0.00005 Bitcoin,True,30,394,All Levels,5.5,2017-02-06,Business Finance,11820,2017
Tudo sobre Investimentos em Renda Fixa,True,45,689,All Levels,2.0,2016-08-22,Business Finance,31005,2016
Aprende a invertir sin capital,True,130,649,Beginner Level,1.5,2017-05-01,Business Finance,84370,2017
Apprendre à trader sur le marché du Forex - guide complet,True,140,187,Beginner Level,3.0,2017-03-07,Business Finance,26180,2017
Introducción a las Finanzas,True,30,1798,Beginner Level,1.5,2015-01-27,Business Finance,53940,2015
Finanzielle Unabhängigkeit-1: Erste Schritte zur Million,True,20,465,Beginner Level,1.0,2016-09-12,Business Finance,9300,2016
Forex para Principiantes-Ejemplos en VIVO de Trading Real,True,140,813,Beginner Level,5.0,2015-10-05,Business Finance,113820,2015
Finanzielle Unabhängigkeit-3 Millionär werden mit Immobilien,True,20,326,Expert Level,1.0,2016-09-12,Business Finance,6520,2016
Introduction to Health Financing,True,85,26,Beginner Level,2.0,2016-05-17,Business Finance,2210,2016
Accounting Cycle: Learn the concepts in 60 minutes,True,20,26,All Levels,1.0,2016-01-26,Business Finance,520,2016
Optimize! Make Best Decisions with Microsoft Excel,True,20,28,Expert Level,1.0,2015-04-01,Business Finance,560,2015
Understanding The Stock Market: For Beginners,True,25,122,Beginner Level,7.5,2014-11-18,Business Finance,3050,2014
CFA® Level 1 2014 – FI,True,40,149,All Levels,4.5,2015-03-08,Business Finance,5960,2015
9. Sinking Funds,True,20,205,All Levels,1.0,2014-02-11,Business Finance,4100,2014
Managerial Accounting - The Ultimate Beginner Course!,True,100,11,Beginner Level,11.0,2017-04-13,Business Finance,1100,2017
Forex Trading for Beginners Vol 1:A Forex Course Made Simple,True,175,3,Beginner Level,1.0,2017-07-04,Business Finance,525,2017
Accounting - Basic Costing ,True,40,108,Beginner Level,3.5,2015-08-04,Business Finance,4320,2015
"Double Your Salary With Free, Local, Job Training Courses",True,20,8,All Levels,1.0,2017-04-17,Business Finance,160,2017
Financial Modeling - Facebook Case Study,True,25,9,All Levels,1.5,2013-10-02,Business Finance,225,2013
Understanding Financial Derivatives,True,20,16,Intermediate Level,2.0,2017-03-24,Business Finance,320,2017
Forex Basics: Learn how to read and analyze Forex charts,True,195,11,Beginner Level,4.5,2016-09-22,Business Finance,2145,2016
Forex - Help I cant Trade,True,200,12,All Levels,2.0,2016-10-18,Business Finance,2400,2016
Start-up financial modeling for non-finance professionals,True,20,11,All Levels,4.0,2016-06-20,Business Finance,220,2016
The Fast Route to a Faster Financial Close,True,50,2,Intermediate Level,1.5,2017-06-23,Business Finance,100,2017
Easy Finance For Startups,True,50,9,Beginner Level,0.6666666666666666,2016-10-16,Business Finance,450,2016
"Excel 4 Accounting & Bookkeeping - Master Date,Time & Text",True,35,15,All Levels,1.0,2016-06-27,Business Finance,525,2016
"Depreciation, Amortization and Depletion",True,25,7,Intermediate Level,1.0,2017-03-06,Business Finance,175,2017
Breakeven Analysis and Pricing,True,20,27,All Levels,1.0,2014-09-22,Business Finance,540,2014
Tally ERP Complete Training in Urdu / Hindi,True,30,5,All Levels,5.0,2017-02-02,Business Finance,150,2017
Accounting Simplified,True,30,3,All Levels,8.5,2017-05-03,Business Finance,90,2017
Series 7: Intermediate Options,True,55,5,Intermediate Level,1.0,2017-04-17,Business Finance,275,2017
Accounting and Business Basics,True,200,5,All Levels,2.0,2017-01-19,Business Finance,1000,2017
Corso introduttivo al trading profittevole,True,20,132,Beginner Level,1.0,2015-11-23,Business Finance,2640,2015
Aprende a Ganar Dinero en la Bolsa,True,30,112,All Levels,4.0,2013-12-11,Business Finance,3360,2013
Inversión: Fundamentos del Trading para Principiantes,True,125,285,Beginner Level,1.5,2015-10-26,Business Finance,35625,2015
Gana en la Bolsa con Análisis Técnico,True,25,91,Beginner Level,8.5,2014-01-29,Business Finance,2275,2014
Precificação - Calculando valor de venda baseado nos custos,True,35,32,All Levels,3.0,2017-04-19,Business Finance,1120,2017
Cómo ganar dinero invirtiendo en bolsa,False,0,2740,Beginner Level,2.0,2016-04-02,Business Finance,0,2016
Investiere in Tax Liens-Hohe Zinsen gesetzl. festgeschrieben,True,20,59,All Levels,1.5,2015-02-25,Business Finance,1180,2015
Investimento em Ações,True,20,16,Beginner Level,4.5,2017-03-27,Business Finance,320,2017
Excelを使ってビジネスシミュレーション：基礎編,True,85,22,Beginner Level,5.0,2017-05-18,Business Finance,1870,2017
Estrategias de trading en bolsa,True,25,15,All Levels,2.0,2016-12-10,Business Finance,375,2016
Grundlagen der finanziellen Unabhängigkeit,False,0,1059,All Levels,1.5,2016-04-21,Business Finance,0,2016
"Wie Du, Dir auch mit kleinen Beträgen ein Vermögen aufbaust",True,70,187,All Levels,7.0,2016-12-14,Business Finance,13090,2016
Corporate Ethics,True,100,0,Beginner Level,3.5,2017-07-03,Business Finance,0,2017
CFA Level 2- Quantitative Methods,True,40,0,All Levels,5.5,2017-07-02,Business Finance,0,2017
Core Financial Statement Concepts,True,50,0,Intermediate Level,1.5,2017-06-28,Business Finance,0,2017
Understand Core Finance Principles in 60 Minutes,True,75,0,Beginner Level,2.5,2017-06-29,Business Finance,0,2017
Learn Wave accounting to maintain books properly,False,0,1089,All Levels,3.0,2016-01-13,Business Finance,0,2016
Making Tax Digital - UK HMRC Legislation Explained,False,0,743,All Levels,1.0,2017-06-06,Business Finance,0,2017
Surviving Introduction to Finance,False,0,1362,Beginner Level,3.0,2014-02-06,Business Finance,0,2014
Cost of Capital and Weighted Average Cost of Capital,False,0,405,All Levels,1.0,2016-04-11,Business Finance,0,2016
Studying the CFA Program exams (Mandarin language version),False,0,1168,All Levels,0.6666666666666666,2014-04-09,Business Finance,0,2014
Condor Broken Wing Butterfly Options Trading Course System,False,0,16,All Levels,1.5,2017-07-06,Business Finance,0,2017
≪虎の巻≫証券取引の「税金のお悩み」解消,True,25,3840,Intermediate Level,1.5,2017-02-21,Business Finance,96000,2017
【１日でマスター！】今日からはじめる資産形成,True,20,7183,Beginner Level,1.0,2017-01-19,Business Finance,143660,2017
TRADING FOR A LIVING: Trading Full-Time Transition Guide,True,195,483,Intermediate Level,3.5,2015-11-06,Business Finance,94185,2015
Learn How To use Channels to find amazing Forex Entries,True,45,172,All Levels,1.0,2017-05-24,Business Finance,7740,2017
"Financial Analysis, from Scratch to Professional!",True,65,256,Beginner Level,3.5,2016-03-06,Business Finance,16640,2016
Cost Accounting Labour Costing (Professional Course Level),True,20,1542,All Levels,2.0,2015-04-20,Business Finance,30840,2015
Learn How To Successfully Trade Forex: In 5 Simple Steps,True,95,64,All Levels,8.5,2017-05-03,Business Finance,6080,2017
The Intelligent Investor,True,30,384,All Levels,10.5,2015-08-27,Business Finance,11520,2015
Succeed in Futures Even if You Don't Know Where to Start,False,0,3014,All Levels,1.0,2017-01-03,Business Finance,0,2017
Binary Options Beginners Guide : Nadex,True,40,454,Beginner Level,2.0,2015-01-09,Business Finance,18160,2015
Trading: From Wall Street to Your Street,True,50,312,Intermediate Level,5.5,2014-12-18,Business Finance,15600,2014
Build your own Naked Trading Forex Robot,True,40,315,All Levels,2.0,2015-08-11,Business Finance,12600,2015
Tax Preparation: Learn Fast! Prepare Taxes with Confidence!,True,200,609,All Levels,2.5,2016-01-12,Business Finance,121800,2016
Tax Strategies of the Wealthy,True,195,207,Beginner Level,1.5,2016-04-29,Business Finance,40365,2016
The Ultimate Fibonacci Trading Plan for Forex and Stocks,True,200,399,All Levels,1.0,2016-08-19,Business Finance,79800,2016
Finance and Accounting for Startups,True,50,1175,All Levels,12.5,2013-01-15,Business Finance,58750,2013
Forex - Calculate Lot Size Like Pro,True,20,543,All Levels,0.6,2016-06-21,Business Finance,10860,2016
The Complete Forex Trader,True,25,1634,All Levels,7.0,2012-10-01,Business Finance,40850,2012
Tape Reading: Learn how to read the tape for day trading,True,195,1013,All Levels,14.0,2014-03-27,Business Finance,197535,2014
4 Easy Daily Forex Trades: A Recipe for Trading Success,True,200,319,All Levels,1.0,2016-11-17,Business Finance,63800,2016
Trading Robot Forex Programs in Your Sleep in Live Examples!,True,200,1125,Expert Level,1.5,2016-01-28,Business Finance,225000,2016
Free Options 101 - Basic of Call and Put Options in 1 Hours,False,0,2481,All Levels,1.5,2016-08-22,Business Finance,0,2016
An Intro into Trading the Financial Markets,True,100,1006,Beginner Level,1.5,2016-09-03,Business Finance,100600,2016
Developing A Trading Strategy: Your Guide to Trading Success,True,20,1044,All Levels,2.0,2015-12-17,Business Finance,20880,2015
How to Trade Commodity and Financial Futures for a Living!,True,200,1240,All Levels,2.5,2016-01-15,Business Finance,248000,2016
How to Trade Forex like a Hedge Fund: Long FX Strategies,True,115,504,All Levels,1.5,2017-03-23,Business Finance,57960,2017
Complete Short Financial Ratio Course for Financial Analysis,True,200,15,All Levels,3.0,2017-06-28,Business Finance,3000,2017
How to Build Profitable FOREX Automated Trading Strategies!,True,200,358,All Levels,2.5,2015-11-11,Business Finance,71600,2015
Stock Trading Strategies: Profitable Trading in 7 Days.,True,50,80,All Levels,5.5,2015-06-16,Business Finance,4000,2015
Management Accounting A Complete Study,True,150,133,All Levels,17.5,2016-12-29,Business Finance,19950,2016
Become a Career Day Trader: Asian-Pacific Futures Markets,True,20,207,All Levels,3.5,2014-01-27,Business Finance,4140,2014
Equity Products,True,50,426,All Levels,2.5,2014-03-11,Business Finance,21300,2014
Financial Accounting Part I - Passing the Class,True,20,45,Beginner Level,4.5,2016-06-29,Business Finance,900,2016
Accounting 102: Guide to Business Accounting,True,50,1280,Intermediate Level,8.5,2014-05-09,Business Finance,64000,2014
Monetizing Your Website: How to Add Cost-Per-Action (CPA) ,True,35,142,All Levels,1.0,2014-06-30,Business Finance,4970,2014
Advanced Finance and Accounting for Startups,True,40,188,Intermediate Level,6.5,2014-02-27,Business Finance,7520,2014
Basics of Tax in India  (College Level),True,20,718,All Levels,2.0,2015-01-31,Business Finance,14360,2015
Trade for a Living,True,20,293,All Levels,8.0,2014-03-22,Business Finance,5860,2014
Learn Stock Options: Options Made Simple 101,True,35,93,Beginner Level,5.0,2016-08-17,Business Finance,3255,2016
Banking Credit Analysis Process (for Bankers),True,180,894,Beginner Level,17.5,2014-07-12,Business Finance,160920,2014
Professional Forex strategy,True,50,353,Expert Level,1.5,2016-02-03,Business Finance,17650,2016
A Beginners Guide to Technical Analysis of Stock Charts,True,40,829,Beginner Level,8.5,2013-09-15,Business Finance,33160,2013
Get out of Debt - The Power of Using Compounding Interest,True,50,1195,All Levels,2.0,2015-01-12,Business Finance,59750,2015
Day Trading - Learn to Day Trade / Swing Trade In One Hour.,True,95,335,All Levels,1.5,2015-11-27,Business Finance,31825,2015
Basel Norms (Basel 1/ Basel 2/ Basel 3) Simplified,True,40,500,Beginner Level,4.0,2015-04-26,Business Finance,20000,2015
Learn to Trade Forex Naked Price Action Wammie Trade,True,40,159,All Levels,1.0,2016-02-17,Business Finance,6360,2016
Fixed Income Securities,True,50,739,All Levels,4.5,2014-03-11,Business Finance,36950,2014
Financial Accounting Made Easy for All,True,20,87,All Levels,4.0,2015-09-01,Business Finance,1740,2015
Ultimate Guide To Trading Engulfing Candlestick Strategy,True,200,185,All Levels,2.5,2016-10-25,Business Finance,37000,2016
Learn Business Finance: Win more work as a Business Coach ,True,20,741,Beginner Level,2.0,2016-01-03,Business Finance,14820,2016
Accounting for Depreciation (Collage Level),True,20,576,All Levels,1.0,2014-07-09,Business Finance,11520,2014
Revealed: Profitable Principles of Successful Traders ,True,25,1046,All Levels,3.0,2013-05-19,Business Finance,26150,2013
Easy Market Profits: 3 Step Stock Investing Strategy,True,20,486,Beginner Level,3.0,2015-09-23,Business Finance,9720,2015
Hedge Fund Trading Systems For Stocks - Part One,True,200,52,All Levels,1.5,2016-10-29,Business Finance,10400,2016
Bonds For Beginners - A Guide To The Bond Markets,True,20,106,Beginner Level,0.5666666666666667,2015-04-20,Business Finance,2120,2015
Professional Risk Manager (PRM) Certification: Level 4,True,50,38,All Levels,8.0,2013-07-23,Business Finance,1900,2013
Crowdfunding for Filmmakers,True,65,32,All Levels,4.0,2015-12-01,Business Finance,2080,2015
How to Make IT Work Successfully in Capital Markets,True,50,171,Beginner Level,3.0,2014-03-11,Business Finance,8550,2014
Introduction to Day Trading,True,50,79,Beginner Level,1.0,2014-09-05,Business Finance,3950,2014
Life Coach Business Basics: Finance and Operations,True,195,397,All Levels,3.5,2015-08-27,Business Finance,77415,2015
Learn How to Profit In Forex With Market Rhythms,True,20,85,All Levels,1.5,2014-08-02,Business Finance,1700,2014
Optimizing investment to maximise your return,False,0,1696,All Levels,0.6333333333333333,2016-03-25,Business Finance,0,2016
Investimento em Ações para Leigos,True,20,201,Beginner Level,2.5,2016-11-11,Business Finance,4020,2016
Introducción a la Contabilidad,True,30,1235,Beginner Level,2.5,2015-01-23,Business Finance,37050,2015
Forex Trading: Strategia Correlazione EUR/GBP vs GBP/USD,True,50,137,Intermediate Level,1.5,2016-11-10,Business Finance,6850,2016
Finanzielle Unabhängigkeit-2 Millionär werden mit Investment,True,20,384,Intermediate Level,0.7166666666666667,2016-09-12,Business Finance,7680,2016
カードゲームでカンタンに理解する！経済とお金のキホン,True,20,103,Beginner Level,1.0,2017-06-27,Business Finance,2060,2017
Contabilidad rápida y eficaz,True,40,379,All Levels,2.0,2016-08-18,Business Finance,15160,2016
Introducción al trading de opciones,True,100,1573,Beginner Level,5.5,2015-02-17,Business Finance,157300,2015
Aprenda a Investir seu Dinheiro,True,85,150,All Levels,2.5,2017-01-20,Business Finance,12750,2017
Trader sur le Forex avec Ichimoku,True,90,48,Beginner Level,2.5,2017-05-05,Business Finance,4320,2017
العلوم والمبادئ الأساسية للمهنة الإكتوارية,True,25,781,Beginner Level,0.65,2016-10-28,Business Finance,19525,2016
トレーディングビュー徹底攻略2017年版,True,55,952,All Levels,3.0,2014-12-10,Business Finance,52360,2014
Kostenrechnung lernen leicht gemacht,True,40,612,Beginner Level,3.0,2016-06-06,Business Finance,24480,2016
MetaTrader4 Platform Training,False,0,1819,Beginner Level,1.5,2016-09-21,Business Finance,0,2016
Professional Bookkeeping & Accounting 1: Sales & Purchases,True,35,551,All Levels,1.5,2015-09-27,Business Finance,19285,2015
Step by step guide to understand how business perform,True,20,788,Intermediate Level,0.6333333333333333,2014-12-14,Business Finance,15760,2014
How to Grow your Small Business and not run out of Cash,True,25,408,Beginner Level,1.5,2016-04-05,Business Finance,10200,2016
Finance for Non Finance Executives,True,180,944,Beginner Level,13.0,2014-06-25,Business Finance,169920,2014
"An Introduction: MT4 Email, Sound, Notification Forex Alerts",True,20,323,Intermediate Level,0.6166666666666667,2014-11-01,Business Finance,6460,2014
Innovators and innovation: Travel through time!,True,50,101,Beginner Level,6.0,2017-05-25,Business Finance,5050,2017
Learn How to Trade The Stock Market,True,20,984,All Levels,4.0,2016-03-02,Business Finance,19680,2016
How To Earn Some Bitcoin Every Time You Use A Search Engine,True,20,89,All Levels,1.0,2016-07-09,Business Finance,1780,2016
Super Fast Accounting - the fastest way to do your books,True,25,129,Beginner Level,0.5666666666666667,2016-03-18,Business Finance,3225,2016
Financial Modeling and Valuation: Complete Beginner to Pro,True,50,249,All Levels,5.0,2016-06-20,Business Finance,12450,2016
Learn to trade Chart Patterns,True,20,75,Intermediate Level,2.0,2016-08-17,Business Finance,1500,2016
Anatomy and Figure Drawing for Beginners,True,150,2252,Beginner Level,21.0,2016-06-20,Graphic Design,337800,2016
Illustrator CC MasterClass,True,95,462,All Levels,12.0,2017-05-02,Graphic Design,43890,2017
Typographic Logo Design in Illustrator - Beginners & Beyond,True,150,1720,All Levels,1.5,2017-02-23,Graphic Design,258000,2017
Adobe Illustrator T-Shirt Design for Merch by Amazon,True,20,390,All Levels,1.0,2017-06-13,Graphic Design,7800,2017
Logo Design in Adobe Illustrator - for Beginners & Beyond,True,200,4297,All Levels,7.5,2015-10-01,Graphic Design,859400,2015
Learn Adobe Illustrator: Semi-Automatic Mandalas Drawing,True,200,1076,All Levels,1.0,2017-05-22,Graphic Design,215200,2017
Create Professional Looking Infographics With No Experience,True,180,9367,Beginner Level,2.0,2017-03-21,Graphic Design,1686060,2017
Discover How to Draw and paint Comics,True,65,8901,All Levels,62.0,2012-11-21,Graphic Design,578565,2012
Typographic Logos: Typography and Lettering for Logo Design,True,25,4235,Intermediate Level,1.5,2014-10-16,Graphic Design,105875,2014
Photoshop in Ease: Create World Amazing  Graphic Designs,True,20,14440,All Levels,3.0,2015-08-13,Graphic Design,288800,2015
Canva Graphics Design Essential Training For Everyone,True,200,12340,All Levels,2.5,2017-03-07,Graphic Design,2468000,2017
Triangulated Bird: Origami Styled Bird in Adobe Illustrator,True,195,2027,Intermediate Level,0.5,2017-04-18,Graphic Design,395265,2017
Illustrator Quick Tip：10分でKawaiiカメレオンを描こう,False,0,381,All Levels,0.6,2015-08-31,Graphic Design,0,2015
Deinen Roman setzen mit PagePlus in 10 einfachen Schritten,False,0,69,All Levels,3.5,2017-04-24,Graphic Design,0,2017
画像加工の初心者でも「１日」で初歩を覚えられる無料講座,False,0,21,Beginner Level,1.0,2017-06-22,Graphic Design,0,2017
Graphic Design Bootcamp,True,200,15276,Beginner Level,8.0,2016-05-13,Graphic Design,3055200,2016
The Ultimate Drawing Course - Beginner to Advanced,True,150,26742,Beginner Level,11.0,2017-01-23,Graphic Design,4011300,2017
Ultimate Photoshop Training: From Beginner to Pro,True,200,5326,Beginner Level,11.5,2017-01-12,Graphic Design,1065200,2017
Photoshop for Entrepreneurs - Design 11 Practical Projects,True,200,36288,All Levels,5.0,2016-06-09,Graphic Design,7257600,2016
Anatomy for Figure Drawing: Mastering the Human Figure,True,95,15500,All Levels,68.5,2013-10-16,Graphic Design,1472500,2013
Sketch 3 from A to Z: Become an App Designer,True,75,7282,All Levels,3.5,2015-01-03,Graphic Design,546150,2015
How to Design a Logo - a Beginners Course,True,30,10875,All Levels,2.5,2012-07-25,Graphic Design,326250,2012
Logo Design Masterclass: Learn Logo Design + Illustrator,True,200,8196,All Levels,6.5,2015-08-18,Graphic Design,1639200,2015
How to Draw and Sketch for Beginners,True,150,1360,Beginner Level,9.0,2017-01-25,Graphic Design,204000,2017
Graphic Design Masterclass: Learn Graphic Design in Projects,True,95,6858,Beginner Level,3.5,2015-11-09,Graphic Design,651510,2015
Canva Graphics Design for Entrepreneurs - Design 11 Projects,True,200,18303,All Levels,3.5,2016-07-23,Graphic Design,3660600,2016
Vector Logo Design in Affinity Designer,True,150,1789,All Levels,3.0,2017-02-07,Graphic Design,268350,2017
How To Create A Low Poly Portrait With The Pen Tool,True,195,293,Beginner Level,1.0,2016-11-15,Graphic Design,57135,2016
Photo Editing in Photoshop - Beginner to Advanced in 1 Hour,True,20,662,Beginner Level,1.0,2016-05-09,Graphic Design,13240,2016
How to Create Kindle & Ebook Covers with Canva,True,30,1279,Beginner Level,1.5,2015-10-21,Graphic Design,38370,2015
How To Make Professional eBook Covers For FREE,True,20,1080,All Levels,3.0,2015-02-26,Graphic Design,21600,2015
Design Business Card in Photoshop: Earn Money by Doing It,True,50,120,Beginner Level,3.5,2017-04-24,Graphic Design,6000,2017
Learn to create beautiful web interfaces and logos,True,20,1085,All Levels,1.0,2013-07-17,Graphic Design,21700,2013
Illustrated Logo Design,True,25,447,Intermediate Level,1.0,2016-11-24,Graphic Design,11175,2016
Color Basics for Print Designers,True,20,372,All Levels,0.6,2012-04-23,Graphic Design,7440,2012
Digital Photo Manipulation Art And Cover Design In PhotoShop,True,50,721,Beginner Level,5.0,2016-03-28,Graphic Design,36050,2016
Drawing Perspective For Beginners,True,150,736,All Levels,7.5,2016-03-20,Graphic Design,110400,2016
Adobe InDesign CC Advanced,True,30,114,Expert Level,3.5,2016-10-18,Graphic Design,3420,2016
Intro to Photoshop for Merch by Amazon,True,25,331,Beginner Level,1.0,2015-11-16,Graphic Design,8275,2015
MicroStation - Células,True,20,0,Beginner Level,0.6166666666666667,2014-04-15,Graphic Design,0,2014
Photoshop - Creación de Efectos 2,True,30,0,Beginner Level,1.0,2017-05-17,Graphic Design,0,2017
Como Criar Logos de Sucesso - Start Designer,True,25,0,Beginner Level,6.0,2017-06-30,Graphic Design,0,2017
Super Textos con Photoshop,True,20,0,Beginner Level,2.0,2014-03-31,Graphic Design,0,2014
Photoshop - Aprende a Transformar Imágenes,True,20,0,Beginner Level,1.0,2017-03-08,Graphic Design,0,2017
Iníciate en Microstation,True,20,0,Beginner Level,1.0,2014-04-15,Graphic Design,0,2014
Adobe Photoshop pentru Social Media,True,20,0,Beginner Level,0.5666666666666667,2016-06-08,Graphic Design,0,2016
Photoshop - Creación de Efectos,True,20,0,Beginner Level,1.0,2017-03-24,Graphic Design,0,2017
Cómo crear maquetas con Adobe XD,False,0,217,Beginner Level,3.0,2017-05-28,Graphic Design,0,2017
Aprenda Modelagem 3D com o 123D Design,False,0,334,Beginner Level,1.0,2016-07-07,Graphic Design,0,2016
Ferramentas Visuais,False,0,817,Beginner Level,5.0,2015-10-09,Graphic Design,0,2015
Adobe Indesign CC Başlangıç,False,0,637,Beginner Level,2.5,2016-01-14,Graphic Design,0,2016
How to Doodle: Basics and Lettering,True,185,2358,All Levels,1.0,2017-02-21,Graphic Design,436230,2017
Mastering Photoshop CC 2017 - The Art of Design & Technology,True,20,3721,All Levels,6.5,2017-02-04,Graphic Design,74420,2017
Design a logo for FREE in Inkscape,True,100,1148,All Levels,2.0,2017-05-01,Graphic Design,114800,2017
Foundation Skills on Adobe Illustrator: Learn Fast!,True,50,2489,Beginner Level,2.0,2017-03-01,Graphic Design,124450,2017
How To Create Amazing Cinemagraphs with Microsoft PowerPoint,True,30,1782,Beginner Level,1.0,2017-04-05,Graphic Design,53460,2017
Canva : Graphic Design Theory Volume1,True,200,6975,All Levels,2.5,2015-06-05,Graphic Design,1395000,2015
Master App Icon Design for iPhone (IOS) & Android Devices,True,25,9464,Intermediate Level,2.0,2015-12-21,Graphic Design,236600,2015
Photoshop: How to create stunning collages,True,20,2044,Beginner Level,1.5,2017-05-09,Graphic Design,40880,2017
Mastering advance Photoshop,True,20,5787,Intermediate Level,2.0,2017-04-27,Graphic Design,115740,2017
Logo Designing for Your Business in an Hour,True,20,25277,All Levels,1.0,2015-01-05,Graphic Design,505540,2015
DIY Design Professional Web Banners in Photoshop 4 Beginners,True,200,6944,Beginner Level,1.0,2017-02-01,Graphic Design,1388800,2017
Photoshop CC for Beginners - A Comprehensive Crash Course,True,200,6028,Beginner Level,2.5,2015-07-29,Graphic Design,1205600,2015
Teoria Basica del Arte. Como Pintar Ilustraciones Digitales,True,20,5104,Beginner Level,1.0,2015-09-08,Graphic Design,102080,2015
Illustrator CC para novatos: ¡desde cero hasta experto! ,True,150,2476,All Levels,11.0,2015-12-29,Graphic Design,371400,2015
Photoshop para novatos:  ¡desde cero hasta experto!,True,150,3000,All Levels,12.0,2015-01-30,Graphic Design,450000,2015
Diventa un professionista del Graphic Design,True,200,185,All Levels,17.5,2017-05-24,Graphic Design,37000,2017
Formação em Design Gráfico com Corel Draw Versões X8 / 2017.,True,45,418,Beginner Level,11.0,2017-03-03,Graphic Design,18810,2017
ABC do Photoshop CC,True,45,431,Beginner Level,7.5,2016-11-21,Graphic Design,19395,2016
Photoshop para iniciante - o básico,True,30,23,Beginner Level,3.0,2017-07-03,Graphic Design,690,2017
