titulo,inscriptos,tipo_curso,institucion,nivel,categoria,lenguaje,duracion_semanas,precio_certif_usd
European Paintings: From Leonardo to Rembrandt to Goya,60734.0,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Humanities,English,7,99.0
Java Programming Fundamentals,12042.0,Self-paced on your time,Universidad Galileo,Intermediate,Engineering,English,5,49.0
"Hollywood: History, Industry, Art",50033.0,Self-paced on your time,University of Pennsylvania,Introductory,Communication,English,4,169.0
Data Science Tools,15627.0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,7,39.0
Statistical Thinking for Data Science and Analytics,198861.0,Self-paced on your time,Columbia University,Introductory,Computer Science,English,5,99.0
Philosophy and Critical Thinking,97175.0,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,6,99.0
International Law,91868.0,Self-paced on your time,Université catholique de Louvain,Advanced,Law,English,12,150.0
Tourism and Travel Management,38503.0,Self-paced on your time,The University of Queensland,Introductory,Business & Management,English,7,5.0
Project Management Life Cycle,120019.0,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,10,150.0
Solar Energy,125069.0,Self-paced on your time,Delft University of Technology,Introductory,Engineering,English,8,50.0
Public Speaking,10129.0,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,English,3,199.0
Japanese Pronunciation for Communication,62757.0,Self-paced on your time,Waseda University,Introductory,Communication,Japanese,5,99.0
Mindfulness and Resilience to Stress at Work,33414.0,Self-paced on your time,"University of California, Berkeley",Introductory,Business & Management,English,4,199.0
Framing Your Communication to Inspire and Convince,49351.0,Self-paced on your time,Delft University of Technology,Intermediate,Business & Management,English,5,125.0
Business Foundations,55154.0,Self-paced on your time,University of British Columbia,Introductory,Business & Management,English,6,150.0
The Chemistry of Life,78704.0,Self-paced on your time,Kyoto University,Introductory,Biology & Life Sciences,English,13,49.0
Nutrition and Health: Micronutrients and Malnutrition,78266.0,Self-paced on your time,Wageningen University & Research,Intermediate,Biology & Life Sciences,English,7,99.0
Digital Design,12339.0,Self-paced on your time,The Hong Kong University of Science and Technology,Introductory,Design,English,5,50.0
Machine Learning for Data Science and Analytics,140419.0,Self-paced on your time,Columbia University,Introductory,Computer Science,English,5,99.0
The Science of Everyday Thinking,318399.0,Self-paced on your time,The University of Queensland,Introductory,Business & Management,English,12,99.0
Gestion de projets de développement,41663.0,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,Français,10,25.0
Product Management Fundamentals,11913.0,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,4,199.0
International Human Rights Law,74424.0,Self-paced on your time,Université catholique de Louvain,Advanced,Law,English,12,150.0
The Best Start in Life: Early Childhood Development for Sustainable Development,23139.0,Self-paced on your time,SDG Academy,Intermediate,Education & Teacher Training,English,8,49.0
Data Science and Machine Learning Capstone Project,21809.0,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,6,99.0
"Data Science for Construction, Architecture and Engineering",11113.0,Self-paced on your time,The National University of Singapore,Introductory,Data Analysis & Statistics,English,7,199.0
"Nutrition, Heart Disease and Diabetes",24986.0,Self-paced on your time,Wageningen University & Research,Intermediate,Food & Nutrition,English,5,99.0
Project Management for Development,62099.0,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,English,10,49.0
Introduction to Cloud Infrastructure Technologies,86923.0,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,14,169.0
"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",13566.0,Self-paced on your time,Wageningen University & Research,Introductory,Art & Culture,English,5,65.0
Machine Learning,150855.0,Instructor-led on a course schedule,Columbia University,Advanced,Computer Science,English,12,249.0
Introducción a la gestión de proyectos,98517.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Business & Management,Español,5,50.0
Free Cash Flow Analysis,36085.0,Self-paced on your time,Columbia University,Introductory,Business & Management,English,5,225.0
Lean Production,55926.0,Self-paced on your time,Technische Universität München,Introductory,Business & Management,English,6,99.0
Introduction to Algebra,131197.0,Self-paced on your time,SchoolYourself,Introductory,Math,English,4,139.0
"LaTeX for Students, Engineers, and Scientists",11823.0,Self-paced on your time,IITBombay,Introductory,Engineering,English,7,139.0
Leading With Effective Communication (Inclusive Leadership Training),107770.0,Self-paced on your time,Catalyst,Introductory,Communication,English,4,50.0
Anatomy: Musculoskeletal and Integumentary Systems,51969.0,Self-paced on your time,The University of Michigan,Introductory,Biology & Life Sciences,English,4,49.0
"Inglés empresarial: ventas, gestión y liderazgo",10897.0,Instructor-led on a course schedule,Universidades Anáhuac,Introductory,Business & Management,English,4,49.0
Business Strategy from Wharton: Competitive Advantage,26675.0,Self-paced on your time,The Wharton School of the University of Pennsylvania,Intermediate,Business & Management,English,6,199.0
Inteligencia emocional para el liderazgo efectivo y colaboración,14726.0,Self-paced on your time,Universidades Anáhuac,Introductory,Social Sciences,Español,4,49.0
Introducción al desarrollo de aplicaciones web,27757.0,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Computer Science,Español,5,49.0
"Six Sigma: Analyze, Improve, Control",56016.0,Self-paced on your time,Technische Universität München,Introductory,Business & Management,English,8,99.0
Introducción a la inteligencia emocional,18830.0,Self-paced on your time,Universidades Anáhuac,Introductory,Social Sciences,Español,4,49.0
AP® Microeconomics,53664.0,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Economics & Finance,English,12,49.0
Engineering Calculus and Differential Equations,21535.0,Self-paced on your time,University of Hong Kong,Introductory,Math,English,6,50.0
Linear Algebra - Foundations to Frontiers,88570.0,Self-paced on your time,The University of Texas at Austin,Intermediate,Computer Science,English,15,49.0
Habilidades de negociación y comunicación efectiva,19614.0,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,4,149.0
Effective Communication for Today's Leader,8862.0,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,English,4,149.0
Electric Cars: Technology,40972.0,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,English,4,50.0
Site Planning Online,12948.0,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Design,English,10,99.0
Macroeconometric Forecasting,69358.0,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,9,25.0
Administración pública y fiscal: cómo se gestiona un gobierno,49189.0,Self-paced on your time,Inter-American Development Bank,Introductory,Economics & Finance,Español,10,25.0
Fundamentals of Red Hat Enterprise Linux,53788.0,Self-paced on your time,Red Hat,Introductory,Computer Science,English,9,99.0
Algorithms,61722.0,Self-paced on your time,IITBombay,Intermediate,Computer Science,English,6,149.0
Calculus Applied!,54976.0,Self-paced on your time,Harvard University,Intermediate,Math,English,10,99.0
Precalculus,55576.0,Self-paced on your time,Arizona State University,Intermediate,Math,English,15,49.0
Fundamentos de anatomía y técnica quirúrgica básica,12133.0,Instructor-led on a course schedule,Universidad del Rosario,Introductory,Medicine,Español,4,49.0
Business Communications,60713.0,Self-paced on your time,University of British Columbia,Introductory,Business & Management,English,6,150.0
Italian Language and Culture: Intermediate (2019-2020),35058.0,Self-paced on your time,Wellesley College,Intermediate,Language,Italiano,12,49.0
International Women's Health and Human Rights,9796.0,Self-paced on your time,Stanford University,Introductory,Social Sciences,English,10,50.0
Blockchain: Understanding Its Uses and Implications,66769.0,Self-paced on your time,The Linux Foundation,Introductory,Business & Management,English,14,199.0
"A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods",22366.0,Self-paced on your time,Imperial College London,Intermediate,Math,English,7,49.0
Blockchain Technology,55376.0,Self-paced on your time,"University of California, Berkeley",Intermediate,Computer Science,English,6,99.0
Basics of Power BI,8314.0,Self-paced on your time,Rolls-Royce,Introductory,Data Analysis & Statistics,English,2,49.0
Preparing to Network in English,34337.0,Self-paced on your time,University of Washington,Introductory,Language,English,6,149.0
Mandarin Chinese Essentials,36665.0,Self-paced on your time,MandarinX,Introductory,Language,English,5,99.0
Human Rights: The Rights of Refugees,84270.0,Self-paced on your time,Amnesty International,Introductory,Humanities,English,3,49.0
What do Architects and Urban Planners do?,11046.0,Self-paced on your time,Wits University,Introductory,Architecture,English,3,49.0
"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",22723.0,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,4,49.0
Negotiation Skills and Effective Communication,8146.0,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,English,4,149.0
AP® English Literature & Composition – Part 1: Stories,15650.0,Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,English,7,49.0
"Viruses & How to Beat Them: Cells, Immunity, Vaccines",28710.0,Self-paced on your time,IsraelX-Tel Aviv University,Introductory,Medicine,English,7,149.0
Alianzas: un vehículo para lograr el desarrollo sostenible,17554.0,Self-paced on your time,Inter-American Development Bank,Introductory,Social Sciences,Español,10,25.0
Designing and Creating Skirts,13954.0,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Design,English,5,99.0
Cómo Aprender Online,7958.0,Self-paced on your time,edX,Introductory,Education & Teacher Training,Español,2,49.0
Computing in Python II: Control Structures,31511.0,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,English,5,99.0
Facebook Ads: Cómo utilizar el poder de la publicidad en Facebook,29614.0,Self-paced on your time,Universidad Galileo,Introductory,Communication,Español,5,49.0
Machine Learning Fundamentals,82008.0,Self-paced on your time,"The University of California, San Diego",Advanced,Data Analysis & Statistics,English,10,350.0
Pre-University Calculus,103224.0,Self-paced on your time,Delft University of Technology,Introductory,Math,English,8,50.0
Tsinghua Chinese: Start Talking with 1.3 Billion People,58834.0,Self-paced on your time,Tsinghua University,Introductory,Language,English,6,49.0
Deep Learning with Python and PyTorch,36195.0,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,6,99.0
Diseña presentaciones eficaces con Powerpoint,36663.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,3,50.0
World of Wine: From Grape to Glass,81839.0,Self-paced on your time,University of Adelaide,Introductory,Science,English,6,199.0
Sustainable Cities,16619.0,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,English,9,49.0
Introduction to Developmental Psychology,38060.0,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,8,99.0
Creativity & Entrepreneurship,69413.0,Self-paced on your time,Berklee College of Music,Introductory,Business & Management,English,4,49.0
College Algebra and Problem Solving,103010.0,Self-paced on your time,Arizona State University,Introductory,Math,English,15,49.0
Academic writing for clarity and meaning,16220.0,Self-paced on your time,Wits University,Introductory,Education & Teacher Training,English,2,49.0
Financial Development and Financial Inclusion,13853.0,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,7,25.0
Global Public Health,17273.0,Self-paced on your time,SDG Academy,Intermediate,Health & Safety,English,10,49.0
Embedded Systems - Shape The World: Microcontroller Input/Output,69182.0,Self-paced on your time,The University of Texas at Austin,Intermediate,Computer Science,English,8,49.0
Introduction to Animal Behaviour,42135.0,Self-paced on your time,Wageningen University & Research,Introductory,Biology & Life Sciences,English,6,49.0
Circular Economy: An Introduction,50240.0,Self-paced on your time,Delft University of Technology,Introductory,Business & Management,English,7,50.0
Public Financial Management,23288.0,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,8,25.0
Anatomy: Human Neuroanatomy,49319.0,Self-paced on your time,The University of Michigan,Introductory,Biology & Life Sciences,English,8,49.0
Android: Introducción a la Programación,85786.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,10,50.0
The Ancient Greek Hero,51744.0,Instructor-led on a course schedule,Harvard University,Introductory,Humanities,English,18,99.0
Agile Leadership Principles and Practices,31838.0,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,English,4,199.0
How to Code: Simple Data,98113.0,Self-paced on your time,University of British Columbia,Introductory,Computer Science,English,7,125.0
Cybersecurity and Privacy in the IoT,21440.0,Self-paced on your time,Curtin University,Introductory,Computer Science,English,5,199.0
Strategic Management,71085.0,Self-paced on your time,Indian Institute of Management Bangalore,Introductory,Business & Management,English,5,150.0
Introducción a la ciencia de datos y sus aplicaciones,7303.0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,6,39.0
"Biochemistry: Biomolecules, Methods, and Mechanisms",18692.0,Instructor-led on a course schedule,Massachusetts Institute of Technology,Intermediate,Biology & Life Sciences,English,12,150.0
Astronomía Virtual,10500.0,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Science,Español,7,29.0
Nutrition and Cancer,27144.0,Self-paced on your time,Wageningen University & Research,Intermediate,Food & Nutrition,English,5,99.0
Build your very first iOS app,31570.0,Instructor-led on a course schedule,Curtin University,Introductory,Computer Science,English,8,149.0
Object-Oriented Programming,93633.0,Self-paced on your time,IITBombay,Introductory,Computer Science,English,4,149.0
Introduction to Jenkins,7233.0,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,10,199.0
Conducting an Informational Interview,15594.0,Self-paced on your time,University of Washington,Introductory,Language,English,8,99.0
Liderazgo y comportamiento organizacional,21419.0,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,4,149.0
Creative Coding,18660.0,Instructor-led on a course schedule,New York University,Introductory,Design,English,14,249.0
Análisis estadístico con Excel,22717.0,Self-paced on your time,Universidad Galileo,Introductory,Data Analysis & Statistics,Español,4,49.0
Introducción a la Ingeniería del Software,17931.0,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Computer Science,Español,5,49.0
Computer Graphics,98553.0,Self-paced on your time,"The University of California, San Diego",Intermediate,Computer Science,English,6,99.0
Data Science: Computational Thinking with Python,78232.0,Self-paced on your time,"University of California, Berkeley",Introductory,Computer Science,English,5,199.0
Comunicación efectiva para el líder actual,18470.0,Self-paced on your time,Tecnológico de Monterrey,Introductory,Communication,Español,4,149.0
Debate y argumentación,10954.0,Self-paced on your time,Universidad del Rosario,Introductory,Humanities,Español,4,49.0
Deep Learning with Tensorflow,37564.0,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,5,99.0
Machine Learning (aprendizaje automático) con Python: una introducción práctica,39155.0,Self-paced on your time,IBM,Introductory,Computer Science,Español,5,49.0
Essential Human Biology: Cells and Tissues,67961.0,Self-paced on your time,University of Adelaide,Introductory,Medicine,English,5,169.0
"Writing, Presenting and Submitting Scientific Papers in English | 英文科技论文写作与学术报告",35720.0,Self-paced on your time,Tsinghua University,Intermediate,Communication,English,5,49.0
Computing in Python III: Data Structures,27239.0,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,English,5,99.0
Introduction to Internet of Things (IoT),6703.0,Self-paced on your time,Rolls-Royce,Introductory,Data Analysis & Statistics,English,2,49.0
Nutrition and Health: Food Risks,51493.0,Self-paced on your time,Wageningen University & Research,Introductory,Biology & Life Sciences,English,8,49.0
Mechanics: Kinematics and Dynamics,35529.0,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Physics,English,12,49.0
Storytelling for Social Change,30313.0,Self-paced on your time,The University of Michigan,Introductory,Communication,English,5,49.0
Introduction to Data Analytics for Managers,39113.0,Self-paced on your time,The University of Michigan,Introductory,Business & Management,English,6,49.0
Qualitative Research Methods: Conversational Interviewing,21972.0,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Humanities,English,3,49.0
International Project Management,45145.0,Self-paced on your time,Rochester Institute of Technology,Advanced,Business & Management,English,9,150.0
Software Development Fundamentals,51402.0,Self-paced on your time,University of Pennsylvania,Intermediate,Computer Science,English,4,149.0
"First Nights - Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots",17484.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,3,49.0
Critical Thinking & Problem Solving,6558.0,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,English,3,199.0
Data Analysis Essentials,42262.0,Self-paced on your time,Imperial College Business School-Imperial College London,Introductory,Business & Management,English,6,79.0
Master Control in Supply Chain Management and Logistics,31326.0,Self-paced on your time,Chalmers University of Technology,Introductory,Business & Management,English,7,49.0
Work and Employment for a Sustainable Future,6528.0,Self-paced on your time,SDG Academy,Intermediate,Economics & Finance,English,6,49.0
Foundations of Data Structures,54075.0,Self-paced on your time,IITBombay,Intermediate,Computer Science,English,6,149.0
"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis",31024.0,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,6,25.0
IoT System Design: Software and Hardware Integration,13608.0,Self-paced on your time,Waseda University,Intermediate,Computer Science,English,4,99.0
English for Doing Business in Asia – Writing,44252.0,Self-paced on your time,The Hong Kong University of Science and Technology,Introductory,Humanities,English,7,60.0
Working in Teams: A Practical Guide,43981.0,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,4,49.0
Introducción a los encofrados y las cimbras en obra civil y edificación,16029.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Engineering,Español,4,50.0
AI Chatbots without Programming,35440.0,Self-paced on your time,IBM,Introductory,Computer Science,English,2,99.0
Introducción a la Ciencia de Datos y el Big Data,16268.0,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Data Analysis & Statistics,Español,4,49.0
Just Money: Banking as if Society Mattered,25553.0,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,16,49.0
Introducción a R,6431.0,Self-paced on your time,Universidades Anáhuac,Introductory,Data Analysis & Statistics,Español,4,49.0
Computing in Python IV: Objects & Algorithms,28112.0,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,English,5,99.0
Adobe Illustrator: aprende a crear presentaciones de impacto,18613.0,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Design,Español,5,15.0
Teaching Critical Thinking through Art with the National Gallery of Art,18595.0,Self-paced on your time,The Smithsonian Institution,Introductory,Education & Teacher Training,English,16,25.0
Word intermedio: herramientas de formato y productividad,10265.0,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Computer Science,Español,6,50.0
Introducción a las finanzas: Principios de valoración,17344.0,Self-paced on your time,Universidad del Rosario,Intermediate,Economics & Finance,Español,4,49.0
Aprende a diseñar jardines verticales y cuadros vivos,6341.0,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Biology & Life Sciences,Español,4,29.0
"Anatomy: Cardiovascular, Urinary, and Respiratory Systems",36917.0,Self-paced on your time,The University of Michigan,Introductory,Biology & Life Sciences,English,4,49.0
Software Engineering: Introduction,35524.0,Self-paced on your time,University of British Columbia,Advanced,Computer Science,English,6,125.0
Structure of Materials,13042.0,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Engineering,English,16,150.0
Fundamentos de fotografía documental,13036.0,Self-paced on your time,Universidad del Rosario,Introductory,Art & Culture,Español,6,49.0
AP® Italian Language and Culture (2020-2021),39398.0,Self-paced on your time,Wellesley College,Advanced,Humanities,Italiano,12,49.0
Computer Hardware and Operating Systems,9715.0,Self-paced on your time,New York University,Introductory,Computer Science,English,6,150.0
Marketing Management,43415.0,Instructor-led on a course schedule,"The University of Maryland, College Park-University System of Maryland",Advanced,Business & Management,English,7,214.0
You Can Innovate: User  Innovation & Entrepreneurship,18974.0,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,10,49.0
Analytics in Python,82210.0,Instructor-led on a course schedule,Columbia University,Intermediate,Business & Management,English,12,249.0
Bases Matemáticas: Álgebra,35811.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Math,Español,4,50.0
HTML5 Apps and Games,86850.0,Self-paced on your time,The World Wide Web Consortium (W3C),Advanced,Computer Science,English,4,199.0
MATLAB and Octave for Beginners,68706.0,Self-paced on your time,École polytechnique fédérale de Lausanne,Introductory,Computer Science,English,4,139.0
AP Physics 1,43401.0,Self-paced on your time,Rice University,Introductory,Physics,English,18,49.0
The Divine Comedy: Dante's Journey to Freedom,12005.0,Self-paced on your time,Georgetown University,Introductory,Humanities,English,8,49.0
Linux Basics: The Command Line Interface,32726.0,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,English,7,49.0
Entrepreneurial Operations: Launching a Startup,23808.0,Self-paced on your time,Babson College,Intermediate,Business & Management,English,4,149.0
Maths Essentials,44642.0,Self-paced on your time,Imperial College Business School-Imperial College London,Introductory,Business & Management,English,6,79.0
"Marketing Analytics: Products, Distribution and Sales",50588.0,Self-paced on your time,"University of California, Berkeley",Intermediate,Computer Science,English,4,249.0
Marketing Innovative Products and Services,6293.0,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,4,149.0
Just Reading and Writing in English | 生活英语读写,33303.0,Self-paced on your time,Tsinghua University,Introductory,Art & Culture,English,15,149.0
Introduction to Java Programming – Part 1,270376.0,Self-paced on your time,The Hong Kong University of Science and Technology,Introductory,Computer Science,English,5,99.0
Comunicación y Redacción Digital,7165.0,Self-paced on your time,Universidades Anáhuac,Introductory,Communication,Español,4,29.0
Monetary Policy Analysis and Forecasting,6616.0,Self-paced on your time,The International Monetary Fund,Advanced,Economics & Finance,English,6,25.0
Basic Analytical Chemistry,19010.0,Self-paced on your time,The University of Tokyo,Introductory,Chemistry,English,6,49.0
Identifying Entrepreneurial Opportunities,11922.0,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,4,149.0
"ChinaX Book Club: Five Authors, Five Books, Five Views of China",5855.0,Self-paced on your time,Harvard University,Introductory,Literature,English,5,139.0
Astrophysics: Cosmology,83322.0,Self-paced on your time,Australian National University,Intermediate,Physics,English,10,50.0
Japanese Culture and Language (I) |日语与日本文化（1）,18489.0,Self-paced on your time,Tsinghua University,Introductory,Art & Culture,中文,10,139.0
COVID-19 Training for Healthcare Workers,5742.0,Self-paced on your time,Stanford University,Introductory,Medicine,English,2,10.0
The Rise of Superheroes and Their Impact On Pop Culture,31368.0,Self-paced on your time,The Smithsonian Institution,Introductory,Humanities,English,6,50.0
Introduction to Aeronautical Engineering,99971.0,Self-paced on your time,Delft University of Technology,Introductory,Engineering,English,7,50.0
Diseño de Jardines,5683.0,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Biology & Life Sciences,Español,4,29.0
"Introducción al griego clásico: lengua, nombres y mitología",18849.0,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Language,Español,5,49.0
Deep Learning Fundamentals with Keras,32140.0,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,5,99.0
Existential Well-being Counseling: A Person-centered Experiential Approach,48439.0,Self-paced on your time,KU Leuven University,Introductory,Humanities,English,12,49.0
Solid Waste Management,7668.0,Self-paced on your time,World Bank Group,Introductory,Environmental Studies,English,6,5.0
Retail Fundamentals,37558.0,Self-paced on your time,Dartmouth College,Intermediate,Business & Management,English,4,99.0
Greatest Unsolved Mysteries of the Universe,93965.0,Self-paced on your time,Australian National University,Intermediate,Physics,English,9,50.0
"Money Markets, Foreign Exchange and Time Value of Money",12230.0,Self-paced on your time,NYIF,Introductory,Economics & Finance,English,4,199.0
Gestión de Contenidos Digitales y Marketing Turístico de Ciudad,14627.0,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Communication,Español,4,49.0
Designing the User Experience,6416.0,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,4,199.0
Introduction to Bioconductor,36370.0,Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,English,4,149.0
Connected Strategy,10355.0,Self-paced on your time,The Wharton School of the University of Pennsylvania,Intermediate,Business & Management,English,6,199.0
Hybrid Vehicles,18294.0,Instructor-led on a course schedule,Chalmers University of Technology,Advanced,Engineering,English,6,249.0
First Nights - Handel's Messiah and Baroque Oratorio,18029.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,3,49.0
Statistical Inference and Modeling for High-throughput Experiments,51590.0,Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,English,4,149.0
First Nights - Monteverdi’s L’Orfeo and the Birth of Opera,13300.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,3,49.0
18th-Century Opera: Handel & Mozart,18331.0,Self-paced on your time,Harvard University,Introductory,Music,English,5,99.0
Introduction to video game development with Unity,7605.0,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Computer Science,English,6,50.0
Best Practices for Project Management Success,46610.0,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,11,150.0
Fundamentos de la Tecnología Blockchain,5473.0,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Economics & Finance,Español,5,49.0
Información financiera y su análisis,5473.0,Self-paced on your time,Tecnológico de Monterrey,Advanced,Economics & Finance,Español,4,49.99
Coaching Skills for Learner-Centred Conversations,8089.0,Self-paced on your time,Imperial College London,Introductory,Education & Teacher Training,English,4,49.0
Intellectual Property Law and Policy: Part 1,43993.0,Self-paced on your time,University of Pennsylvania,Intermediate,Law,English,6,169.0
Robotics,68199.0,Instructor-led on a course schedule,Columbia University,Advanced,Computer Science,English,10,249.0
La gestion des ressources humaines,6824.0,Self-paced on your time,HEC Montréal,Introductory,Business & Management,Français,7,99.0
Writing for Social Justice,9927.0,Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,English,4,50.0
Steps in Japanese for Beginners1 Part2,8080.0,Self-paced on your time,Waseda University,Introductory,Language,English,5,99.0
Case Studies in Functional Genomics,26850.0,Self-paced on your time,Harvard University,Advanced,Data Analysis & Statistics,English,5,149.0
Essential Career Skills for Investment Banking and Finance,11655.0,Self-paced on your time,NYIF,Introductory,Business & Management,English,2,49.0
Data Structures and Software Design,30609.0,Self-paced on your time,University of Pennsylvania,Intermediate,Computer Science,English,4,149.0
Unconscious Bias: From Awareness to Action,26659.0,Self-paced on your time,Catalyst,Introductory,Communication,English,3,49.0
Cybersecurity for Critical Urban Infrastructure,5306.0,Self-paced on your time,Massachusetts Institute of Technology,Advanced,Computer Science,English,4,100.0
"Agile Process, Project, and Program Controls",16339.0,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,English,4,199.0
Risk Management in Development Projects,13263.0,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,English,10,25.0
"Pintura europea: Leonardo, Rembrandt, Goya",32635.0,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Humanities,Español,7,29.0
Risk & Return,21970.0,Self-paced on your time,Columbia University,Introductory,Business & Management,English,4,225.0
Project Management of Engineering Projects: Preparing for Success,42834.0,Instructor-led on a course schedule,Delft University of Technology,Intermediate,Business & Management,English,10,99.0
Supply Chain Dynamics,75464.0,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Business & Management,English,13,299.0
AWS Developer: Building on AWS,54249.0,Self-paced on your time,Amazon Web Services,Advanced,Computer Science,English,6,149.0
Financial Accounting Made Fun: Eliminating Your Fears,36787.0,Self-paced on your time,Babson College,Introductory,Business & Management,English,4,199.0
PredictionX: John Snow and the Cholera Epidemic of 1854,17713.0,Self-paced on your time,Harvard University,Introductory,History,English,1,25.0
Gestión de operaciones,9512.0,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Business & Management,Español,6,119.0
Microeconomics & Business,10962.0,Self-paced on your time,Doane University,Introductory,Economics & Finance,English,8,79.0
Inteligencia artificial: Chatbots sin programación,5001.0,Self-paced on your time,IBM,Introductory,Computer Science,Español,2,49.0
Diseño e innovación de modelo de negocios,7180.0,Self-paced on your time,Tecnológico de Monterrey,Advanced,Business & Management,Español,4,99.0
Unlocking Investment and Finance in Emerging Markets and Developing Economies (EMDEs),29171.0,Self-paced on your time,World Bank Group,Introductory,Economics & Finance,English,4,5.0
Business Communication,,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,English,3,199.0
Gestão de riscos em projetos,8771.0,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,Português,10,25.0
